,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
2496,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
2497,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
2498,"RT @DrTedros: Glad to see one more vaccine, #Covaxin, being granted @WHO emergency use listing. The more products we have to fight #COVID19…", glad to see one more vaccine   covaxin  being granted   emergency use listing  the more products we have to fight  covid19 ,0.5,0.6666666666666666,negative,0.198,0.611,0.191,-0.0516,124,20, glad to see one more vaccine   covaxin  being granted   emergency use listing  the more products we have to fight  covid ,"['', 'glad', 'to', 'see', 'one', 'more', 'vaccine', 'covaxin', 'being', 'granted', 'emergency', 'use', 'listing', 'the', 'more', 'products', 'we', 'have', 'to', 'fight', 'covid', '']","['', 'glad', 'see', 'one', 'vaccine', 'covaxin', 'granted', 'emergency', 'use', 'listing', 'products', 'fight', 'covid', '']","['', 'glad', 'see', 'one', 'vaccin', 'covaxin', 'grant', 'emerg', 'use', 'list', 'product', 'fight', 'covid', '']"
2499,RT @KirenRijiju: Good news as World Health Organization has granted Emergency Use Listing (EUL) to Made-in-India #COVAXIN (Developed by Bha…, good news as world health organization has granted emergency use listing  eul  to made in india  covaxin  developed by bha ,0.39999999999999997,0.45000000000000007,positive,0.106,0.694,0.2,0.3182,124,20, good news as world health organization has granted emergency use listing  eul  to made in india  covaxin  developed by bha ,"['', 'good', 'news', 'as', 'world', 'health', 'organization', 'has', 'granted', 'emergency', 'use', 'listing', 'eul', 'to', 'made', 'in', 'india', 'covaxin', 'developed', 'by', 'bha', '']","['', 'good', 'news', 'world', 'health', 'organization', 'granted', 'emergency', 'use', 'listing', 'eul', 'made', 'india', 'covaxin', 'developed', 'bha', '']","['', 'good', 'news', 'world', 'health', 'organ', 'grant', 'emerg', 'use', 'list', 'eul', 'made', 'india', 'covaxin', 'develop', 'bha', '']"
2500,RT @BharatBiotech: The Emergency Use Listing approval by WHO validates the international safety and quality standards of COVAXIN®. Bharat B…, the emergency use listing approval by who validates the international safety and quality standards of covaxin   bharat b ,0.0,0.0,positive,0.109,0.544,0.347,0.6908,122,18, the emergency use listing approval by who validates the international safety and quality standards of covaxin   bharat b ,"['', 'the', 'emergency', 'use', 'listing', 'approval', 'by', 'who', 'validates', 'the', 'international', 'safety', 'and', 'quality', 'standards', 'of', 'covaxin', 'bharat', 'b', '']","['', 'emergency', 'use', 'listing', 'approval', 'validates', 'international', 'safety', 'quality', 'standards', 'covaxin', 'bharat', 'b', '']","['', 'emerg', 'use', 'list', 'approv', 'valid', 'intern', 'safeti', 'qualiti', 'standard', 'covaxin', 'bharat', 'b', '']"
2501,"RT @dpradhanbjp: ‘Made In India’ #COVAXIN gets emergency use listing by @WHO. 

A welcome move which will strengthen humanity’s fight again…",  made in india   covaxin gets emergency use listing by      a welcome move which will strengthen humanity s fight again ,0.8,0.9,positive,0.221,0.553,0.226,0.0258,121,19,  made in india   covaxin gets emergency use listing by      a welcome move which will strengthen humanity s fight again ,"['', 'made', 'in', 'india', 'covaxin', 'gets', 'emergency', 'use', 'listing', 'by', 'a', 'welcome', 'move', 'which', 'will', 'strengthen', 'humanity', 's', 'fight', 'again', '']","['', 'made', 'india', 'covaxin', 'gets', 'emergency', 'use', 'listing', 'welcome', 'move', 'strengthen', 'humanity', 'fight', '']","['', 'made', 'india', 'covaxin', 'get', 'emerg', 'use', 'list', 'welcom', 'move', 'strengthen', 'human', 'fight', '']"
2502,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
2503,"RT @biostockguru: $OCGN 

#COVAXIN 

WHO Approval ✔️
CDC Approval ✔️
FDA next  

#CovidVaccine Valuation (Market Cap in billions) 

$OCGN $…",  ocgn    covaxin   who approval    cdc approval    fda next     covidvaccine valuation  market cap in billions     ocgn   ,0.0,0.0,positive,0.0,0.677,0.323,0.7351,123,15,  ocgn    covaxin   who approval    cdc approval    fda next     covidvaccine valuation  market cap in billions     ocgn   ,"['', 'ocgn', 'covaxin', 'who', 'approval', 'cdc', 'approval', 'fda', 'next', 'covidvaccine', 'valuation', 'market', 'cap', 'in', 'billions', 'ocgn', '']","['', 'ocgn', 'covaxin', 'approval', 'cdc', 'approval', 'fda', 'next', 'covidvaccine', 'valuation', 'market', 'cap', 'billions', 'ocgn', '']","['', 'ocgn', 'covaxin', 'approv', 'cdc', 'approv', 'fda', 'next', 'covidvaccin', 'valuat', 'market', 'cap', 'billion', 'ocgn', '']"
2504,When will @GCOQatar accept #COVAXIN for Indian travelers #Qatar2022 @WHO @QNAEnglish @qatarairways https://t.co/sxHfV4vmZu,when will   accept  covaxin for indian travelers  qatar2022        ,0.0,0.0,positive,0.0,0.729,0.271,0.3818,67,8,when will   accept  covaxin for indian travelers  qatar        ,"['when', 'will', 'accept', 'covaxin', 'for', 'indian', 'travelers', 'qatar', '']","['accept', 'covaxin', 'indian', 'travelers', 'qatar', '']","['accept', 'covaxin', 'indian', 'travel', 'qatar', '']"
2505,RT @nitin_gadkari: WHO has approved India's indigenously developed #covaxin for emergency use. It is a tacit approval of PM Shri @narendram…, who has approved india s indigenously developed  covaxin for emergency use  it is a tacit approval of pm shri   ,0.1,0.3,positive,0.116,0.622,0.262,0.5106,113,19, who has approved india s indigenously developed  covaxin for emergency use  it is a tacit approval of pm shri   ,"['', 'who', 'has', 'approved', 'india', 's', 'indigenously', 'developed', 'covaxin', 'for', 'emergency', 'use', 'it', 'is', 'a', 'tacit', 'approval', 'of', 'pm', 'shri', '']","['', 'approved', 'india', 'indigenously', 'developed', 'covaxin', 'emergency', 'use', 'tacit', 'approval', 'pm', 'shri', '']","['', 'approv', 'india', 'indigen', 'develop', 'covaxin', 'emerg', 'use', 'tacit', 'approv', 'pm', 'shri', '']"
